Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1973","ha","59059844"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1973","t","182607655"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1974","ha","59414622"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1974","t","190144914"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1975","ha","58866384"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1975","t","179886147"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1976","ha","59086843"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1976","t","179453384"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1977","ha","58150975"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1977","t","184771110"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1978","ha","59264068"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1978","t","205673342"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1979","ha","58774853"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1979","t","194685776"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1980","ha","58988720"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1980","t","209500189"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1981","ha","57955247"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1981","t","196730430"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1982","ha","58261579"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1982","t","215931953"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1983","ha","57873389"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1983","t","204610619"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1984","ha","58333201"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1984","t","245095901"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1985","ha","57592226"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1985","t","229902339"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1986","ha","57505879"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1986","t","225450889"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1987","ha","56554297"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1987","t","223603885"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1988","ha","56518403"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1988","t","234713292"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1989","ha","56749564"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1989","t","238177491"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1990","ha","55222413"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1990","t","231805149.8"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1991","ha","55783301"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1991","t","246587542.24"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1992","ha","57069147"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1992","t","214941993.88"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1993","ha","58006884"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1993","t","231859433.53"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1994","ha","57736080"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1994","t","231551870.78"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1995","ha","57713103"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1995","t","238180844.34"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1996","ha","58121714"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1996","t","255778704.88"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1997","ha","60404959"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1997","t","271391503.13"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1998","ha","59272504"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1998","t","269620689.55"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1999","ha","56632085"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1999","t","257160321.15"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2000","ha","58221835"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2000","t","256044370"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2001","ha","58983036"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2001","t","268748933.68"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2002","ha","58491046"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2002","t","269371969.68"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2003","ha","56124552"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2003","t","232621590.26"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2004","ha","58467719"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2004","t","306271155.45"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2005","ha","57269858"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2005","t","269828444.96"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2006","ha","55286037"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2006","t","252215990.84"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2007","ha","54862696"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2007","t","246391408.72"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2008","ha","58009148"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2008","t","296193332.13"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2009","ha","56453362"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2009","t","280518297.11"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2010","ha","53583814"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2010","t","263420029.95"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2011","ha","54007685"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2011","t","273333535.96"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2012","ha","55048503"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2012","t","265402639.42"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2013","ha","55103583"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2013","t","289480200.46"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2014","ha","55119398"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2014","t","309340290.38"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2015","ha","54654388"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2015","t","293917753.28"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2016","ha","54059755"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2016","t","280777758.93"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2017","ha","52516768"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2017","t","288817332.76"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2018","ha","52376670"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2018","t","273938220"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2019","ha","53681550"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2019","t","299262180"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2020","ha","52243520"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2020","t","285523150"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2021","ha","52526030"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2021","t","297504860"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","2022","ha","51485510"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2022","t","270830120"
