Domain,Area,Element,Months,Year,Unit,Value
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1987","°c","0.196"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1988","°c","0.782"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1989","°c","0.153"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1990","°c","0.565"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1991","°c","1.028"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1992","°c","2.495"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1993","°c","0.635"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1994","°c","2.496"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1995","°c","0.979"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1996","°c","0.389"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1997","°c","0.78"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1998","°c","1.62"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1999","°c","0.947"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2000","°c","1.443"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2001","°c","1.348"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2002","°c","2.099"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2003","°c","4.213"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2004","°c","1.036"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2005","°c","0.824"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2006","°c","1.553"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2007","°c","1.94"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2008","°c","1.748"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2009","°c","1.643"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2010","°c","1.82"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2011","°c","1.557"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2012","°c","2.582"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2013","°c","2.214"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2014","°c","1.066"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2015","°c","3.42"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2016","°c","2.036"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2017","°c","3.119"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2018","°c","3.18"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2019","°c","3.732"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2020","°c","2.065"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2021","°c","2.468"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2022","°c","3.569"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","2023","°c","2.774"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2000","°c","0.568"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2001","°c","1.351"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2002","°c","1.458"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2003","°c","3.423"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2004","°c","1.162"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2005","°c","1.075"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2006","°c","2.231"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2007","°c","0.878"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2008","°c","1.161"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2009","°c","1.409"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2010","°c","1.689"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2011","°c","0.545"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2012","°c","1.014"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2013","°c","1.567"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2014","°c","1.124"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2015","°c","2.101"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2016","°c","1.751"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2017","°c","2.288"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2018","°c","3.235"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2019","°c","2.928"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2020","°c","2.436"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2021","°c","1.632"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2022","°c","3.39"
"Temperature change on land","Belgium","Temperature change","Jun–Jul–Aug","2023","°c","2.625"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1961","°c","-0.574"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1962","°c","-0.996"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1963","°c","-0.181"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1964","°c","0.706"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1965","°c","-0.945"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1966","°c","-0.322"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1967","°c","0.406"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1968","°c","-0.292"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1969","°c","0.372"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1970","°c","0.486"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1971","°c","0.285"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1972","°c","-0.578"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1973","°c","1.159"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1974","°c","-0.489"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1975","°c","1.2"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1976","°c","2.202"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1977","°c","-0.368"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1978","°c","-1.09"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1979","°c","-0.345"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1980","°c","-0.658"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1981","°c","-0.138"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1982","°c","1.284"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1983","°c","2.389"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1984","°c","-0.149"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1985","°c","-0.437"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1986","°c","0.412"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1987","°c","-0.332"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1988","°c","0.036"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1989","°c","0.854"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1990","°c","0.81"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1991","°c","0.834"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1992","°c","1.77"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1993","°c","0.171"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1994","°c","2.265"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1995","°c","1.868"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1996","°c","0.344"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1997","°c","1.605"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1998","°c","0.552"
"Temperature change on land","Belgium-Luxembourg","Temperature change","Jun–Jul–Aug","1999","°c","1.206"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1961","°c","-0.132"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1962","°c","0.513"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1963","°c","1.096"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1964","°c","-0.172"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1965","°c","-0.198"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1966","°c","0.071"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1967","°c","-0.11"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1968","°c","-0.32"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1969","°c","-0.593"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1970","°c","-0.002"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1971","°c","-0.284"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1972","°c","0.544"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1973","°c","-0.639"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1974","°c","-0.447"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1975","°c","-0.202"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1976","°c","-1.936"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1977","°c","-0.061"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1978","°c","-0.788"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1979","°c","-0.288"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1980","°c","-0.475"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1981","°c","-0.005"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1982","°c","-0.221"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1983","°c","-0.618"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1984","°c","-1.255"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1985","°c","0.001"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1986","°c","0.277"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1987","°c","0.632"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1988","°c","1.378"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1989","°c","-0.347"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1990","°c","0.377"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1991","°c","0.103"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1992","°c","0.84"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1993","°c","0.643"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1994","°c","1.024"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1995","°c","0.778"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1996","°c","0.847"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1997","°c","-0.011"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1998","°c","1.583"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","1999","°c","1.605"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2000","°c","1.664"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2001","°c","1.547"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2002","°c","1.424"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2003","°c","2.304"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2004","°c","0.35"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2005","°c","0.109"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2006","°c","0.858"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2007","°c","2.907"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2008","°c","1.799"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2009","°c","1.433"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2010","°c","1.902"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2011","°c","1.327"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2012","°c","3.359"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2013","°c","1.534"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2014","°c","0.774"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2015","°c","1.206"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2016","°c","1.985"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2017","°c","2.026"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2018","°c","1.747"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2019","°c","2.207"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2020","°c","1.529"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2021","°c","2.184"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2022","°c","2.393"
"Temperature change on land","Bulgaria","Temperature change","Jun–Jul–Aug","2023","°c","2.413"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1992","°c","1.682"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1993","°c","1.122"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1994","°c","2.079"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1995","°c","0.53"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1996","°c","0.47"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1997","°c","0.578"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1998","°c","1.952"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","1999","°c","1.226"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2000","°c","1.867"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2001","°c","1.502"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2002","°c","1.68"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2003","°c","4.058"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2004","°c","1.097"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2005","°c","0.63"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2006","°c","1.084"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2007","°c","2.456"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2008","°c","1.973"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2009","°c","1.741"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2010","°c","1.778"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2011","°c","1.988"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2012","°c","3.51"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2013","°c","2.049"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2014","°c","0.837"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2015","°c","3.097"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2016","°c","1.869"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2017","°c","3.347"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2018","°c","2.613"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2019","°c","3.36"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2020","°c","1.864"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2021","°c","3.037"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2022","°c","3.678"
"Temperature change on land","Croatia","Temperature change","Jun–Jul–Aug","2023","°c","2.743"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1961","°c","0.255"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1962","°c","0.377"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1963","°c","0.849"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1964","°c","-0.431"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1965","°c","0.289"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1966","°c","0.149"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1967","°c","-0.546"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1968","°c","-0.095"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1969","°c","-0.155"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1970","°c","-0.19"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1971","°c","-0.35"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1972","°c","-0.689"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1973","°c","-0.158"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1974","°c","-0.089"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1975","°c","-0.279"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1976","°c","-1.023"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1977","°c","0.432"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1978","°c","0.072"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1979","°c","0.131"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1980","°c","0.02"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1981","°c","0.321"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1982","°c","-0.432"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1983","°c","-0.477"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1984","°c","-0.599"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1985","°c","0.303"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1986","°c","0.173"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1987","°c","0.245"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1988","°c","1.062"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1989","°c","0.017"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1990","°c","0.132"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1991","°c","0.013"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1992","°c","-0.165"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1993","°c","0.604"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1994","°c","0.494"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1995","°c","0.913"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1996","°c","1.003"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1997","°c","0.412"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1998","°c","1.694"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","1999","°c","1.218"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2000","°c","1.794"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2001","°c","1.219"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2002","°c","1.305"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2003","°c","1.349"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2004","°c","0.764"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2005","°c","0.802"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2006","°c","1.1"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2007","°c","1.681"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2008","°c","1.889"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2009","°c","1.759"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2010","°c","1.843"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2011","°c","1.142"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2012","°c","2.107"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2013","°c","1.052"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2014","°c","1.195"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2015","°c","0.722"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2016","°c","2.152"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2017","°c","1.925"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2018","°c","1.782"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2019","°c","1.936"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2020","°c","1.473"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2021","°c","2.141"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2022","°c","1.87"
"Temperature change on land","Cyprus","Temperature change","Jun–Jul–Aug","2023","°c","2.17"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1993","°c","0.022"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1994","°c","2.29"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1995","°c","1.178"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1996","°c","0.073"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1997","°c","0.859"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1998","°c","0.99"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","1999","°c","0.847"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2000","°c","1.033"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2001","°c","0.943"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2002","°c","2.127"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2003","°c","3.446"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2004","°c","0.847"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2005","°c","0.591"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2006","°c","1.747"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2007","°c","1.915"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2008","°c","1.573"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2009","°c","1.239"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2010","°c","1.719"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2011","°c","1.21"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2012","°c","1.917"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2013","°c","1.858"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2014","°c","1.142"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2015","°c","3.128"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2016","°c","1.897"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2017","°c","2.56"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2018","°c","3.42"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2019","°c","3.705"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2020","°c","2.1"
"Temperature change on land","Czechia","Temperature change","Jun–Jul–Aug","2021","°c","2.165"
