Domain,Area,Element,Item,Year,Unit,Value
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","1.53"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","1.52"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","1.59"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","1.64"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","1.65"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","1.67"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","1.71"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","1.73"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","1.53"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","1.53"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","1.53"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.71"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.71"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.72"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.75"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.73"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.75"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.75"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.74"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.76"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.78"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.8"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.8"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.85"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.81"
"Livestock Patterns","Italy","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.86"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.22"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.22"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.21"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.2"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.19"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.18"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.18"
"Livestock Patterns","Latvia","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.18"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.32"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.34"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.32"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.3"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.29"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.29"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.27"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.26"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.25"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.25"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.25"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.24"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.23"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.22"
"Livestock Patterns","Lithuania","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.21"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","1.48"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","1.51"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","1.54"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","1.55"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","1.57"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","1.53"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","1.5"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","1.54"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","1.57"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","1.6"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","1.61"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","1.62"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","1.53"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","1.52"
"Livestock Patterns","Luxembourg","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","1.5"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","4.27"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","4.34"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","4.5"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","3.95"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","3.45"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","2.93"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","3"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","3.02"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","3.03"
"Livestock Patterns","Malta","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","3.01"
