Domain,Area,Element,Item,Year,Source,Unit,Value
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2020","FAO TIER 1","kt","0.0227"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2006","FAO TIER 1","kt","155.7742"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2007","FAO TIER 1","kt","154.7704"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2008","FAO TIER 1","kt","155.2297"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2009","FAO TIER 1","kt","154.8829"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2010","FAO TIER 1","kt","156.8384"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2011","FAO TIER 1","kt","156.0985"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2012","FAO TIER 1","kt","153.5972"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2013","FAO TIER 1","kt","152.3007"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2014","FAO TIER 1","kt","152.7942"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2015","FAO TIER 1","kt","153.0964"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2016","FAO TIER 1","kt","152.8566"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2017","FAO TIER 1","kt","153.1071"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2018","FAO TIER 1","kt","150.5374"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2019","FAO TIER 1","kt","148.1236"
"Emissions totals","Austria","Emissions (CH4)","Enteric Fermentation","2020","FAO TIER 1","kt","146.774"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2006","FAO TIER 1","kt","41.4993"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2006","FAO TIER 1","kt","0.9128"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2006","FAO TIER 1","kt","1.5046"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2007","FAO TIER 1","kt","41.1559"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2007","FAO TIER 1","kt","0.9008"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2007","FAO TIER 1","kt","1.488"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2008","FAO TIER 1","kt","42.1095"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2008","FAO TIER 1","kt","0.9083"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2008","FAO TIER 1","kt","1.5028"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2009","FAO TIER 1","kt","40.72"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2009","FAO TIER 1","kt","0.901"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2009","FAO TIER 1","kt","1.4854"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2010","FAO TIER 1","kt","41.4331"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2010","FAO TIER 1","kt","0.9168"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2010","FAO TIER 1","kt","1.5094"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2011","FAO TIER 1","kt","41.3859"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2011","FAO TIER 1","kt","0.9144"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2011","FAO TIER 1","kt","1.5042"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2012","FAO TIER 1","kt","40.3133"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2012","FAO TIER 1","kt","0.8971"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2012","FAO TIER 1","kt","1.4741"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2013","FAO TIER 1","kt","40.0455"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2013","FAO TIER 1","kt","0.8925"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2013","FAO TIER 1","kt","1.465"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2014","FAO TIER 1","kt","39.6477"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2014","FAO TIER 1","kt","0.892"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2014","FAO TIER 1","kt","1.4631"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2015","FAO TIER 1","kt","39.5662"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2015","FAO TIER 1","kt","0.8935"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2015","FAO TIER 1","kt","1.4647"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2016","FAO TIER 1","kt","39.4864"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2016","FAO TIER 1","kt","0.8934"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2016","FAO TIER 1","kt","1.4627"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2017","FAO TIER 1","kt","39.2383"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2017","FAO TIER 1","kt","0.8931"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2017","FAO TIER 1","kt","1.4605"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2018","FAO TIER 1","kt","38.7934"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2018","FAO TIER 1","kt","0.8794"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2018","FAO TIER 1","kt","1.438"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2019","FAO TIER 1","kt","38.4602"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2019","FAO TIER 1","kt","0.8677"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2019","FAO TIER 1","kt","1.4189"
"Emissions totals","Austria","Emissions (CH4)","Manure Management","2020","FAO TIER 1","kt","38.5402"
"Emissions totals","Austria","Direct emissions (N2O)","Manure Management","2020","FAO TIER 1","kt","0.8628"
"Emissions totals","Austria","Emissions (N2O)","Manure Management","2020","FAO TIER 1","kt","1.4125"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2006","FAO TIER 1","kt","282.5817"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2007","FAO TIER 1","kt","282.5817"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2008","FAO TIER 1","kt","282.5817"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2009","FAO TIER 1","kt","284.0864"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2010","FAO TIER 1","kt","285.305"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2011","FAO TIER 1","kt","285.305"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2012","FAO TIER 1","kt","285.4424"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2013","FAO TIER 1","kt","287.2777"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2014","FAO TIER 1","kt","287.4143"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2015","FAO TIER 1","kt","287.4143"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2016","FAO TIER 1","kt","287.4143"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2017","FAO TIER 1","kt","287.4292"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2018","FAO TIER 1","kt","286.9881"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2019","FAO TIER 1","kt","287.6655"
"Emissions totals","Austria","Emissions (CO2)","Drained organic soils (CO2)","2020","FAO TIER 1","kt","287.6804"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2006","FAO TIER 1","kt","0.2007"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2007","FAO TIER 1","kt","0.2007"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2008","FAO TIER 1","kt","0.2007"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2009","FAO TIER 1","kt","0.2017"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2010","FAO TIER 1","kt","0.2026"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2011","FAO TIER 1","kt","0.2026"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2012","FAO TIER 1","kt","0.2027"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2013","FAO TIER 1","kt","0.204"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2014","FAO TIER 1","kt","0.2041"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2015","FAO TIER 1","kt","0.2041"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2016","FAO TIER 1","kt","0.2041"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2017","FAO TIER 1","kt","0.2041"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2018","FAO TIER 1","kt","0.2038"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2019","FAO TIER 1","kt","0.2043"
"Emissions totals","Austria","Emissions (N2O)","Drained organic soils (N2O)","2020","FAO TIER 1","kt","0.2043"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2006","FAO TIER 1","kt","0.2591"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2006","FAO TIER 1","kt","0.3006"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2006","FAO TIER 1","kt","1338.9465"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2007","FAO TIER 1","kt","0.2483"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2007","FAO TIER 1","kt","0.3004"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2007","FAO TIER 1","kt","1282.4581"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2008","FAO TIER 1","kt","0.2506"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2008","FAO TIER 1","kt","0.2968"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2008","FAO TIER 1","kt","1272.7294"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2009","FAO TIER 1","kt","0.2148"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2009","FAO TIER 1","kt","0.2934"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2009","FAO TIER 1","kt","1172.2786"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2010","FAO TIER 1","kt","0.2165"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2010","FAO TIER 1","kt","0.2951"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2010","FAO TIER 1","kt","1212.4659"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2011","FAO TIER 1","kt","0.2036"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2011","FAO TIER 1","kt","0.2939"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2011","FAO TIER 1","kt","1191.3436"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2012","FAO TIER 1","kt","0.2015"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2012","FAO TIER 1","kt","0.2935"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2012","FAO TIER 1","kt","1122.8891"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2013","FAO TIER 1","kt","0.2004"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2013","FAO TIER 1","kt","0.2961"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2013","FAO TIER 1","kt","1146.9683"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2014","FAO TIER 1","kt","0.1946"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2014","FAO TIER 1","kt","0.2929"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2014","FAO TIER 1","kt","1113.1216"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2015","FAO TIER 1","kt","0.1919"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2015","FAO TIER 1","kt","0.2917"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2015","FAO TIER 1","kt","1122.0499"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2016","FAO TIER 1","kt","0.1881"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2016","FAO TIER 1","kt","0.2903"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2016","FAO TIER 1","kt","1130.9012"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2017","FAO TIER 1","kt","0.1786"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2017","FAO TIER 1","kt","0.2874"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2017","FAO TIER 1","kt","1109.1894"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2018","FAO TIER 1","kt","0.1784"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2018","FAO TIER 1","kt","0.2872"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2018","FAO TIER 1","kt","1084.8542"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2019","FAO TIER 1","kt","0.1719"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2019","FAO TIER 1","kt","0.282"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2019","FAO TIER 1","kt","1073.1166"
"Emissions totals","Austria","Emissions (CH4)","On-farm energy use","2020","FAO TIER 1","kt","0.1526"
"Emissions totals","Austria","Emissions (N2O)","On-farm energy use","2020","FAO TIER 1","kt","0.2707"
"Emissions totals","Austria","Emissions (CO2)","On-farm energy use","2020","FAO TIER 1","kt","1014.6046"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2006","FAO TIER 1","kt","0.37"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2006","FAO TIER 1","kt","0.0096"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2007","FAO TIER 1","kt","0.3596"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2007","FAO TIER 1","kt","0.0093"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2008","FAO TIER 1","kt","0.4226"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2008","FAO TIER 1","kt","0.011"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2009","FAO TIER 1","kt","0.3979"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2009","FAO TIER 1","kt","0.0103"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2010","FAO TIER 1","kt","0.3951"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2010","FAO TIER 1","kt","0.0102"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2011","FAO TIER 1","kt","0.4113"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2011","FAO TIER 1","kt","0.0107"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2012","FAO TIER 1","kt","0.4194"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2012","FAO TIER 1","kt","0.0109"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2013","FAO TIER 1","kt","0.4183"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2013","FAO TIER 1","kt","0.0108"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2014","FAO TIER 1","kt","0.3992"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2014","FAO TIER 1","kt","0.0104"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2015","FAO TIER 1","kt","0.3754"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2015","FAO TIER 1","kt","0.0097"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2016","FAO TIER 1","kt","0.3634"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2016","FAO TIER 1","kt","0.0094"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2017","FAO TIER 1","kt","0.3457"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2017","FAO TIER 1","kt","0.009"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2018","FAO TIER 1","kt","0.3571"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2018","FAO TIER 1","kt","0.0093"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2019","FAO TIER 1","kt","0.3514"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2019","FAO TIER 1","kt","0.0091"
"Emissions totals","Belgium","Emissions (CH4)","Burning - Crop residues","2020","FAO TIER 1","kt","0.3503"
"Emissions totals","Belgium","Emissions (N2O)","Burning - Crop residues","2020","FAO TIER 1","kt","0.0091"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2006","FAO TIER 1","kt","193.9884"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2007","FAO TIER 1","kt","192.3512"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2008","FAO TIER 1","kt","190.7814"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2009","FAO TIER 1","kt","191.0079"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2010","FAO TIER 1","kt","189.182"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2011","FAO TIER 1","kt","186.7059"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2012","FAO TIER 1","kt","182.4565"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2013","FAO TIER 1","kt","179.1452"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2014","FAO TIER 1","kt","183.553"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2015","FAO TIER 1","kt","185.5522"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2016","FAO TIER 1","kt","185.1259"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2017","FAO TIER 1","kt","177.8036"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2018","FAO TIER 1","kt","179.2948"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2019","FAO TIER 1","kt","178.3435"
"Emissions totals","Belgium","Emissions (CH4)","Enteric Fermentation","2020","FAO TIER 1","kt","176.4172"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2006","FAO TIER 1","kt","66.0545"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2006","FAO TIER 1","kt","1.2594"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2006","FAO TIER 1","kt","2.0916"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2007","FAO TIER 1","kt","65.0191"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2007","FAO TIER 1","kt","1.2427"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2007","FAO TIER 1","kt","2.068"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2008","FAO TIER 1","kt","65.1404"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2008","FAO TIER 1","kt","1.2365"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2008","FAO TIER 1","kt","2.062"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2009","FAO TIER 1","kt","65.5138"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2009","FAO TIER 1","kt","1.242"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2009","FAO TIER 1","kt","2.0708"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2010","FAO TIER 1","kt","65.8093"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2010","FAO TIER 1","kt","1.239"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2010","FAO TIER 1","kt","2.0652"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2011","FAO TIER 1","kt","66.0681"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2011","FAO TIER 1","kt","1.2335"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2011","FAO TIER 1","kt","2.0563"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2012","FAO TIER 1","kt","66.2512"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2012","FAO TIER 1","kt","1.2175"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2012","FAO TIER 1","kt","2.0344"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2013","FAO TIER 1","kt","65.4628"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2013","FAO TIER 1","kt","1.2014"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2013","FAO TIER 1","kt","2.0051"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2014","FAO TIER 1","kt","64.8985"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2014","FAO TIER 1","kt","1.2098"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2014","FAO TIER 1","kt","2.0213"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2015","FAO TIER 1","kt","65.5128"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2015","FAO TIER 1","kt","1.2339"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2015","FAO TIER 1","kt","2.0526"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2016","FAO TIER 1","kt","64.3248"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2016","FAO TIER 1","kt","1.2032"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2016","FAO TIER 1","kt","2.0127"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2017","FAO TIER 1","kt","62.7994"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2017","FAO TIER 1","kt","1.1585"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2017","FAO TIER 1","kt","1.9452"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2018","FAO TIER 1","kt","64.0237"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2018","FAO TIER 1","kt","1.1884"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2018","FAO TIER 1","kt","1.9848"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2019","FAO TIER 1","kt","63.2039"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2019","FAO TIER 1","kt","1.184"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2019","FAO TIER 1","kt","1.9733"
"Emissions totals","Belgium","Emissions (CH4)","Manure Management","2020","FAO TIER 1","kt","64.0211"
"Emissions totals","Belgium","Direct emissions (N2O)","Manure Management","2020","FAO TIER 1","kt","1.1904"
"Emissions totals","Belgium","Emissions (N2O)","Manure Management","2020","FAO TIER 1","kt","1.9811"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2006","FAO TIER 1","kt","200.4017"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2007","FAO TIER 1","kt","200.8713"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2008","FAO TIER 1","kt","199.8068"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2009","FAO TIER 1","kt","199.8931"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2010","FAO TIER 1","kt","200.3325"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2011","FAO TIER 1","kt","200.6291"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2012","FAO TIER 1","kt","200.6195"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2013","FAO TIER 1","kt","200.6195"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2014","FAO TIER 1","kt","200.5585"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2015","FAO TIER 1","kt","200.5585"
"Emissions totals","Belgium","Emissions (CO2)","Drained organic soils (CO2)","2016","FAO TIER 1","kt","199.6415"
