Domain,Area,Element,Item,Year,Source,Unit,Value
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2018","FAO TIER 1","kt","-7440.2896"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2019","FAO TIER 1","kt","-7440.2896"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2020","FAO TIER 1","kt","-7440.2896"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2000","FAO TIER 1","kt","1810.7327"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2001","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2002","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2003","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2004","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2005","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2006","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2007","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2008","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2009","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2010","FAO TIER 1","kt","156.2675"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2011","FAO TIER 1","kt","354.288"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2012","FAO TIER 1","kt","354.288"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2013","FAO TIER 1","kt","354.288"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2014","FAO TIER 1","kt","354.288"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2015","FAO TIER 1","kt","354.288"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2016","FAO TIER 1","kt","225.94"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2017","FAO TIER 1","kt","225.94"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2018","FAO TIER 1","kt","225.94"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2019","FAO TIER 1","kt","225.94"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Net Forest conversion","2020","FAO TIER 1","kt","225.94"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2000","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2001","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2002","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2003","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2004","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2005","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2006","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2007","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2008","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2009","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2010","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2011","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2012","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2013","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2014","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2015","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2016","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2017","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2018","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2019","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Fires in organic soils","2020","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2000","FAO TIER 1","kt","0.0853"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2001","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2002","FAO TIER 1","kt","0.2725"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2003","FAO TIER 1","kt","0.5185"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2004","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2005","FAO TIER 1","kt","4.2947"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2006","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2007","FAO TIER 1","kt","0.2725"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2008","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2009","FAO TIER 1","kt","0.2725"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2010","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2011","FAO TIER 1","kt","0.123"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2012","FAO TIER 1","kt","0.2725"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2013","FAO TIER 1","kt","0.791"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2014","FAO TIER 1","kt","1.8252"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2015","FAO TIER 1","kt","0"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2016","FAO TIER 1","kt","0.3955"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2017","FAO TIER 1","kt","0.791"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2018","FAO TIER 1","kt","2.3437"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2019","FAO TIER 1","kt","0.123"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forest fires","2020","FAO TIER 1","kt","0.2725"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2000","FAO TIER 1","kt","211.1378"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2001","FAO TIER 1","kt","209.562"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2002","FAO TIER 1","kt","205.2499"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2003","FAO TIER 1","kt","202.2714"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2004","FAO TIER 1","kt","199.8819"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2005","FAO TIER 1","kt","199.9337"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2006","FAO TIER 1","kt","200.4017"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2007","FAO TIER 1","kt","200.8713"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2008","FAO TIER 1","kt","199.8068"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2009","FAO TIER 1","kt","199.8931"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2010","FAO TIER 1","kt","200.3325"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2011","FAO TIER 1","kt","200.6291"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2012","FAO TIER 1","kt","200.6195"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2013","FAO TIER 1","kt","200.6195"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2014","FAO TIER 1","kt","200.5585"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2015","FAO TIER 1","kt","200.5585"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2016","FAO TIER 1","kt","199.6415"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2017","FAO TIER 1","kt","198.7204"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2018","FAO TIER 1","kt","198.0725"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2019","FAO TIER 1","kt","202.4537"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2020","FAO TIER 1","kt","202.4971"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2000","FAO TIER 1","kt","-5183.7034"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2001","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2002","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2003","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2004","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2005","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2006","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2007","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2008","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2009","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2010","FAO TIER 1","kt","-3224.3715"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2011","FAO TIER 1","kt","-4876.7099"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2012","FAO TIER 1","kt","-4876.7099"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2013","FAO TIER 1","kt","-4876.7099"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2014","FAO TIER 1","kt","-4876.7099"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2015","FAO TIER 1","kt","-4876.7099"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2016","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2017","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2018","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2019","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forestland","2020","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2000","FAO TIER 1","kt","1004.608"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2001","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2002","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2003","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2004","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2005","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2006","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2007","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2008","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2009","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2010","FAO TIER 1","kt","50.2151"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2011","FAO TIER 1","kt","2355.3288"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2012","FAO TIER 1","kt","2355.3288"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2013","FAO TIER 1","kt","2355.3288"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2014","FAO TIER 1","kt","2355.3288"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2015","FAO TIER 1","kt","2355.3288"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2016","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2017","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2018","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2019","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Net Forest conversion","2020","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2000","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2001","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2002","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2003","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2004","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2005","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2006","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2007","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2008","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2009","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2010","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2011","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2012","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2013","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2014","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2015","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2016","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2017","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2018","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2019","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Fires in organic soils","2020","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2000","FAO TIER 1","kt","0.2279"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2001","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2002","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2003","FAO TIER 1","kt","0.2725"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2004","FAO TIER 1","kt","0.3955"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2005","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2006","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2007","FAO TIER 1","kt","0.123"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2008","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2009","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2010","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2011","FAO TIER 1","kt","0.2725"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2012","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2013","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2014","FAO TIER 1","kt","0.3955"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2015","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2016","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2017","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2018","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2019","FAO TIER 1","kt","0"
"Emissions totals","Belgium","Emissions (CO2eq) (AR5)","Forest fires","2020","FAO TIER 1","kt","0"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2000","FAO TIER 1","kt","1127.9013"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2001","FAO TIER 1","kt","1126.4494"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2002","FAO TIER 1","kt","1125.2904"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2003","FAO TIER 1","kt","1123.4438"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2004","FAO TIER 1","kt","1121.7724"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2005","FAO TIER 1","kt","1120.3931"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2006","FAO TIER 1","kt","1119.0944"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2007","FAO TIER 1","kt","1116.5611"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2008","FAO TIER 1","kt","1114.2461"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2009","FAO TIER 1","kt","1112.4554"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2010","FAO TIER 1","kt","1110.3767"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2011","FAO TIER 1","kt","1108.7794"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2012","FAO TIER 1","kt","1107.3483"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2013","FAO TIER 1","kt","1105.8794"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2014","FAO TIER 1","kt","1102.2747"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2015","FAO TIER 1","kt","1101.4713"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2016","FAO TIER 1","kt","1100.6933"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2017","FAO TIER 1","kt","1099.8186"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2018","FAO TIER 1","kt","1096.3204"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2019","FAO TIER 1","kt","1098.157"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2020","FAO TIER 1","kt","1097.2977"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Forestland","2000","FAO TIER 1","kt","-25291.475"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Forestland","2001","FAO TIER 1","kt","-28218.3917"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Forestland","2002","FAO TIER 1","kt","-28218.3917"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Forestland","2003","FAO TIER 1","kt","-28218.3917"
"Emissions totals","Bulgaria","Emissions (CO2eq) (AR5)","Forestland","2004","FAO TIER 1","kt","-28218.3917"
