Domain,Area,Element,Months,Year,Unit,Value
"Temperature change on land","Albania","Temperature change","Meteorological year","2016","°c","1.558"
"Temperature change on land","Albania","Temperature change","Meteorological year","2017","°c","1.196"
"Temperature change on land","Albania","Temperature change","Meteorological year","2018","°c","2.103"
"Temperature change on land","Albania","Temperature change","Meteorological year","2019","°c","1.751"
"Temperature change on land","Albania","Temperature change","Meteorological year","2020","°c","1.567"
"Temperature change on land","Albania","Temperature change","Meteorological year","2021","°c","1.589"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2000","°c","0.862"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2001","°c","1.895"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2002","°c","1.291"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2003","°c","1.619"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2004","°c","1.016"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2005","°c","1.289"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2006","°c","1.422"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2007","°c","1.249"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2008","°c","1.205"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2009","°c","0.958"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2010","°c","2.275"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2011","°c","1.403"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2012","°c","1.166"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2013","°c","1.221"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2014","°c","1.713"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2015","°c","1.153"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2016","°c","1.787"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2017","°c","1.533"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2018","°c","1.231"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2019","°c","1.107"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2020","°c","1.905"
"Temperature change on land","Algeria","Temperature change","Meteorological year","2021","°c","2.36"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2000","°c","0.604"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2001","°c","0.882"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2002","°c","1.13"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2003","°c","0.712"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2004","°c","0.244"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2005","°c","0.878"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2006","°c","0.48"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2007","°c","0.928"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2008","°c","0.498"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2009","°c",""
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2010","°c","1.131"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2011","°c","0.681"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2012","°c","0.72"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2013","°c","1.012"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2014","°c","0.84"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2015","°c","0.679"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2016","°c","1.209"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2017","°c","1.105"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2018","°c","0.859"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2019","°c","1.209"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2020","°c","1.101"
"Temperature change on land","American Samoa","Temperature change","Meteorological year","2021","°c","0.938"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2000","°c","1.036"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2001","°c","1.486"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2002","°c","0.843"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2003","°c","1.966"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2004","°c","0.944"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2005","°c","0.865"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2006","°c","1.495"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2007","°c","1.018"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2008","°c","0.932"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2009","°c","1.4"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2010","°c","0.459"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2011","°c","1.666"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2012","°c","1.252"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2013","°c","0.815"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2014","°c","1.917"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2015","°c","1.631"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2016","°c","1.918"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2017","°c","1.854"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2018","°c","1.835"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2019","°c","1.884"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2020","°c","2.48"
"Temperature change on land","Andorra","Temperature change","Meteorological year","2021","°c","1.45"
"Temperature change on land","Angola","Temperature change","Meteorological year","2000","°c","0.205"
"Temperature change on land","Angola","Temperature change","Meteorological year","2001","°c","0.29"
"Temperature change on land","Angola","Temperature change","Meteorological year","2002","°c","0.717"
"Temperature change on land","Angola","Temperature change","Meteorological year","2003","°c","0.912"
"Temperature change on land","Angola","Temperature change","Meteorological year","2004","°c","0.348"
"Temperature change on land","Angola","Temperature change","Meteorological year","2005","°c","1.085"
"Temperature change on land","Angola","Temperature change","Meteorological year","2006","°c","0.455"
"Temperature change on land","Angola","Temperature change","Meteorological year","2007","°c","0.777"
"Temperature change on land","Angola","Temperature change","Meteorological year","2008","°c","0.42"
"Temperature change on land","Angola","Temperature change","Meteorological year","2009","°c","0.636"
"Temperature change on land","Angola","Temperature change","Meteorological year","2010","°c","1.167"
"Temperature change on land","Angola","Temperature change","Meteorological year","2011","°c","0.844"
"Temperature change on land","Angola","Temperature change","Meteorological year","2012","°c","0.558"
"Temperature change on land","Angola","Temperature change","Meteorological year","2013","°c","1.005"
"Temperature change on land","Angola","Temperature change","Meteorological year","2014","°c","0.792"
"Temperature change on land","Angola","Temperature change","Meteorological year","2015","°c","1.326"
"Temperature change on land","Angola","Temperature change","Meteorological year","2016","°c","1.692"
"Temperature change on land","Angola","Temperature change","Meteorological year","2017","°c","0.943"
"Temperature change on land","Angola","Temperature change","Meteorological year","2018","°c","1.306"
"Temperature change on land","Angola","Temperature change","Meteorological year","2019","°c","1.785"
"Temperature change on land","Angola","Temperature change","Meteorological year","2020","°c","1.108"
"Temperature change on land","Angola","Temperature change","Meteorological year","2021","°c","1.401"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2000","°c","0.499"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2001","°c",""
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2002","°c","0.699"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2003","°c","0.977"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2004","°c","0.609"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2005","°c","1.007"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2006","°c","0.75"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2007","°c","0.887"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2008","°c","0.3"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2009","°c","0.521"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2010","°c","1.294"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2011","°c","0.581"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2012","°c","0.684"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2013","°c","0.702"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2014","°c","0.708"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2015","°c","1.002"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2016","°c","1.174"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2017","°c","0.925"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2018","°c","0.788"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2019","°c","0.879"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2020","°c","1.179"
"Temperature change on land","Anguilla","Temperature change","Meteorological year","2021","°c","0.879"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2000","°c","-0.793"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2001","°c","-0.068"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2002","°c","1.327"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2003","°c","-0.455"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2004","°c","0.154"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2005","°c","0.858"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2006","°c","-0.03"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2007","°c","0.682"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2008","°c","0.567"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2009","°c","1.32"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2010","°c","0.849"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2011","°c","0.771"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2012","°c","-0.204"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2013","°c","1.744"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2014","°c","0.57"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2015","°c","-0.02"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2016","°c","0.234"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2017","°c","0.788"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2018","°c","1.451"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2019","°c","0.64"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2020","°c","0.798"
"Temperature change on land","Antarctica","Temperature change","Meteorological year","2021","°c","-0.569"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2000","°c","0.499"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2001","°c",""
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2002","°c","0.699"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2003","°c","0.977"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2004","°c","0.609"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2005","°c","1.007"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2006","°c","0.75"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2007","°c","0.887"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2008","°c","0.3"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2009","°c","0.521"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2010","°c","1.294"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2011","°c","0.581"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2012","°c","0.684"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2013","°c","0.702"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2014","°c","0.708"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2015","°c","1.002"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2016","°c","1.174"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2017","°c","0.925"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2018","°c","0.788"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2019","°c","0.879"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2020","°c","1.179"
"Temperature change on land","Antigua and Barbuda","Temperature change","Meteorological year","2021","°c","0.879"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2000","°c","-0.249"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2001","°c","0.357"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2002","°c","0.208"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2003","°c","0.584"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2004","°c","0.404"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2005","°c","0.197"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2006","°c","0.509"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2007","°c","-0.261"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2008","°c","0.504"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2009","°c","0.751"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2010","°c","0.045"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2011","°c","0.284"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2012","°c","0.736"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2013","°c","0.419"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2014","°c","0.937"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2015","°c","0.931"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2016","°c","0.48"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2017","°c","1.076"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2018","°c","0.86"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2019","°c","0.751"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2020","°c","1.104"
"Temperature change on land","Argentina","Temperature change","Meteorological year","2021","°c","1.009"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2000","°c","1.1"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2001","°c","1.469"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2002","°c","1.199"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2003","°c","0.175"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2004","°c","1.142"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2005","°c","0.549"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2006","°c","1.635"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2007","°c","0.744"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2008","°c","0.875"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2009","°c","0.692"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2010","°c","2.772"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2011","°c","0.655"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2012","°c","1.285"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2013","°c","1.355"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2014","°c","1.236"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2015","°c","1.896"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2016","°c","1.331"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2017","°c","0.883"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2018","°c","2.739"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2019","°c","1.864"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2020","°c","1.954"
"Temperature change on land","Armenia","Temperature change","Meteorological year","2021","°c","2.183"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2000","°c","0.097"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2001","°c","0.708"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2002","°c","0.863"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2003","°c","0.917"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2004","°c","0.458"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2005","°c","0.598"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2006","°c","0.632"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2007","°c","0.894"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2008","°c","0.16"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2009","°c","0.429"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2010","°c","1"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2011","°c","0.298"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2012","°c","0.564"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2013","°c","1.031"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2014","°c","0.818"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2015","°c","1.657"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2016","°c","0.995"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2017","°c","1.157"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2018","°c","0.664"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2019","°c","0.986"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2020","°c","1.285"
"Temperature change on land","Aruba","Temperature change","Meteorological year","2021","°c",""
"Temperature change on land","Australia","Temperature change","Meteorological year","2000","°c","0.084"
"Temperature change on land","Australia","Temperature change","Meteorological year","2001","°c","0.275"
"Temperature change on land","Australia","Temperature change","Meteorological year","2002","°c","0.667"
"Temperature change on land","Australia","Temperature change","Meteorological year","2003","°c","0.775"
"Temperature change on land","Australia","Temperature change","Meteorological year","2004","°c","0.656"
"Temperature change on land","Australia","Temperature change","Meteorological year","2005","°c","1.126"
"Temperature change on land","Australia","Temperature change","Meteorological year","2006","°c","0.639"
"Temperature change on land","Australia","Temperature change","Meteorological year","2007","°c","0.855"
"Temperature change on land","Australia","Temperature change","Meteorological year","2008","°c","0.546"
"Temperature change on land","Australia","Temperature change","Meteorological year","2009","°c","0.95"
"Temperature change on land","Australia","Temperature change","Meteorological year","2010","°c","0.593"
"Temperature change on land","Australia","Temperature change","Meteorological year","2011","°c","0.135"
"Temperature change on land","Australia","Temperature change","Meteorological year","2012","°c","0.228"
"Temperature change on land","Australia","Temperature change","Meteorological year","2013","°c","1.413"
"Temperature change on land","Australia","Temperature change","Meteorological year","2014","°c","1.107"
"Temperature change on land","Australia","Temperature change","Meteorological year","2015","°c","0.996"
"Temperature change on land","Australia","Temperature change","Meteorological year","2016","°c","1.102"
"Temperature change on land","Australia","Temperature change","Meteorological year","2017","°c","1.079"
"Temperature change on land","Australia","Temperature change","Meteorological year","2018","°c","1.061"
"Temperature change on land","Australia","Temperature change","Meteorological year","2019","°c","1.346"
"Temperature change on land","Australia","Temperature change","Meteorological year","2020","°c","1.337"
"Temperature change on land","Australia","Temperature change","Meteorological year","2021","°c","0.569"
"Temperature change on land","Austria","Temperature change","Meteorological year","2000","°c","1.774"
"Temperature change on land","Austria","Temperature change","Meteorological year","2001","°c","1.508"
"Temperature change on land","Austria","Temperature change","Meteorological year","2002","°c","1.542"
"Temperature change on land","Austria","Temperature change","Meteorological year","2003","°c","1.474"
"Temperature change on land","Austria","Temperature change","Meteorological year","2004","°c","0.84"
"Temperature change on land","Austria","Temperature change","Meteorological year","2005","°c","0.638"
"Temperature change on land","Austria","Temperature change","Meteorological year","2006","°c","0.919"
"Temperature change on land","Austria","Temperature change","Meteorological year","2007","°c","2.151"
"Temperature change on land","Austria","Temperature change","Meteorological year","2008","°c","1.597"
"Temperature change on land","Austria","Temperature change","Meteorological year","2009","°c","1.554"
"Temperature change on land","Austria","Temperature change","Meteorological year","2010","°c","0.668"
"Temperature change on land","Austria","Temperature change","Meteorological year","2011","°c","1.384"
"Temperature change on land","Austria","Temperature change","Meteorological year","2012","°c","1.792"
"Temperature change on land","Austria","Temperature change","Meteorological year","2013","°c","1.105"
"Temperature change on land","Austria","Temperature change","Meteorological year","2014","°c","2.421"
"Temperature change on land","Austria","Temperature change","Meteorological year","2015","°c","2.175"
"Temperature change on land","Austria","Temperature change","Meteorological year","2016","°c","2.1"
"Temperature change on land","Austria","Temperature change","Meteorological year","2017","°c","1.746"
"Temperature change on land","Austria","Temperature change","Meteorological year","2018","°c","2.53"
"Temperature change on land","Austria","Temperature change","Meteorological year","2019","°c","2.375"
"Temperature change on land","Austria","Temperature change","Meteorological year","2020","°c","2.322"
"Temperature change on land","Austria","Temperature change","Meteorological year","2021","°c","1.41"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2000","°c","1.088"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2001","°c","1.396"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2002","°c","1.43"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2003","°c","-0.104"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2004","°c","1.323"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2005","°c","0.879"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2006","°c","1.524"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2007","°c","0.979"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2008","°c","0.882"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2009","°c","0.778"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2010","°c","2.328"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2011","°c","0.733"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2012","°c","1.421"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2013","°c","1.498"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2014","°c","1.153"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2015","°c","1.594"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2016","°c","1.356"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2017","°c","1.199"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2018","°c","2.131"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2019","°c","1.878"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2020","°c","1.889"
"Temperature change on land","Azerbaijan","Temperature change","Meteorological year","2021","°c","1.958"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2000","°c","0.269"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2001","°c","0.2"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2002","°c","0.92"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2003","°c","1.067"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2004","°c","0.398"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2005","°c","0.477"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2006","°c","0.389"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2007","°c","0.913"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2008","°c","0.894"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2009","°c","0.487"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2010","°c","0.382"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2011","°c","0.458"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2012","°c","0.539"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2013","°c","0.751"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2014","°c","1.066"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2015","°c","1.267"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2016","°c","1.207"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2017","°c","1.476"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2018","°c","1.18"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2019","°c","1.6"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2020","°c","1.715"
"Temperature change on land","Bahamas","Temperature change","Meteorological year","2021","°c","0.714"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2000","°c","1.155"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2001","°c","1.263"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2002","°c","1.626"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2003","°c","1.297"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2004","°c","1.42"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2005","°c","1.095"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2006","°c","1.835"
"Temperature change on land","Bahrain","Temperature change","Meteorological year","2007","°c","1.041"
