Domain,Area,Element,Item,Year,Value
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1969","31.9767"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1969","23.2253"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1969","22.1142"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1970","29.7222"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1970","21.9076"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1970","21.7332"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1971","32.2935"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1971","23.1468"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1971","21.2903"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1972","31.7088"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1972","22.8903"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1972","21.6455"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1973","31.0781"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1973","22.2914"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1973","21.3015"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1974","31.9963"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1974","24.0294"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1974","21.8887"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1975","28.6849"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1975","23.0517"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1975","20.7777"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1976","28.7427"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1976","22.0943"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1976","20.9228"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1977","28.5735"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1977","22.3163"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1977","21.1753"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1978","29.498"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1978","22.9874"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1978","21.8804"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1979","27.1136"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1979","21.5749"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1979","21.4509"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1980","28.9465"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1980","23.9731"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1980","21.1563"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1981","28.1582"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1981","23.599"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1981","21.8673"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1982","29.8962"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1982","25.7619"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1982","22.7395"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1983","28.3223"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1983","24.0978"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1983","21.0381"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1984","32.8006"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1984","28.0494"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1984","23.8548"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1985","30.7351"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1985","27.7554"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1985","23.2984"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1986","30.6322"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1986","27.5249"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1986","23.2209"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1987","31.2647"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1987","29.0027"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1987","23.8056"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1988","31.6338"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1988","29.4969"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1988","23.9389"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1989","33.1066"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1989","30.9583"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1989","25.5485"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1990","35.6082"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1990","35.2052"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1990","27.0921"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1991","39.6049"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1991","42.7547"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1991","29.6142"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1992","37.813"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1992","41.3226"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1992","30.9504"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1993","39.1402"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1993","44.1"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1993","32.9559"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1994","38.6531"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1994","43.8675"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1994","31.0331"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1995","40.5054"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1995","45.4111"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1995","32.1046"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1996","40.9135"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1996","47.0673"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1996","34.4735"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1997","43.5735"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1997","51.5675"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1997","35.3203"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1998","43.8162"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1998","51.4956"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1998","35.8612"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1999","42.4443"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1999","51.3513"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1999","36.5864"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2000","42.8244"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2000","53.3494"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2000","37.4275"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2001","43.977"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2001","55.5199"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2001","37.7213"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2002","44.9462"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2002","55.7747"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2002","38.5227"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2003","39.3594"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2003","50.7863"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2003","35.2222"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2004","50.7539"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2004","64.274"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2004","42.1071"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2005","46.719"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2005","59.3601"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2005","40.1339"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2006","44.5265"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2006","57.7792"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2006","37.45"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2007","42.053"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2007","53.9219"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2007","36.2183"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2008","52.1126"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2008","76.4549"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2008","45.3715"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2009","52.0289"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2009","75.6708"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2009","46.888"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2010","46.7182"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2010","67.5898"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2010","40.7521"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2011","49.3003"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2011","71.8254"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2011","44.8726"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2012","46.7607"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2012","65.7145"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2012","41.9317"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2013","49.8951"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2013","71.7094"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2013","43.4872"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2014","52.3538"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2014","75.8525"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2014","46.4231"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2015","49.4829"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2015","72.1202"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2015","43.7858"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2016","47.4742"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2016","69.9034"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2016","43.348"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2017","49.344"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2017","71.6896"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2017","45.677"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2018","47.5366"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2018","67.833"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2018","42.7133"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2019","50.5744"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2019","69.1048"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2019","44.552"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2020","49.4707"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2020","68.0079"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2020","43.0691"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","2021","53.105"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","2021","74.1848"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","2021","46.3047"
