Domain,Area,Element,Item,Year,Value
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2014","56122"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2014","309340290.38"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2015","53778"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2015","293917753.28"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2016","51938"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2016","280777758.93"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2017","54995"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2017","288817332.76"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2018","52302"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2018","273938220"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2019","55748"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2019","299262180"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2020","54652"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2020","285523150"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2021","56640"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2021","297504860"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2022","52603"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2022","270830120"
