VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2012,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Lithuania,2014,100,%,I,False
