Domain,Area,Indicator,Sex,Year,Element,Source,Unit,Value
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2007","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2008","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2009","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2010","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2011","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2012","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2013","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2014","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2015","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2016","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2017","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2018","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2019","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2020","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","188.89"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","209.69"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","222.58"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","222.11"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","216.63"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","241.46"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","785.47"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","779.27"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","772.28"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","739.35"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","776.11"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","714.28"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","705.03"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","675.69"
"Employment Indicators: Rural","Belgium","Employment by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","698.54"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","52.96"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","54.02"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","54.94"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","55.59"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","55.32"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","53.81"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","55.43"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","55.14"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","55.19"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","53.97"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","53.95"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","55.58"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","56.5"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","56.42"
"Employment Indicators: Rural","Belgium","Labour force participation rate by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","55.41"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2006","Value","Labour force survey","%","48.61"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2007","Value","Labour force survey","%","50.18"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2008","Value","Labour force survey","%","50.99"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2009","Value","Labour force survey","%","51.43"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2010","Value","Labour force survey","%","50.97"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2011","Value","Labour force survey","%","51.13"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2012","Value","Labour force survey","%","52.43"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2013","Value","Labour force survey","%","51.71"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2014","Value","Labour force survey","%","51.48"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2015","Value","Labour force survey","%","50.59"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2016","Value","Labour force survey","%","50.81"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2017","Value","Labour force survey","%","52.85"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2018","Value","Labour force survey","%","54.13"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2019","Value","Labour force survey","%","54.14"
"Employment Indicators: Rural","Belgium","Employment-to-population ratio by age, total (15+), rural areas","Total","2020","Value","Labour force survey","%","53.17"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2006","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2007","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2008","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2009","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2010","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2011","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2012","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2013","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2014","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2015","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2016","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2017","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2018","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2019","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Belgium","Share of employment by status of employment, total, rural areas","Total","2020","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","1053.75"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","1430.7"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","1488.67"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","1438.5"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","1311.7"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","1253.91"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","782.41"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","754.62"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","746.53"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","762.9"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","761.7"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","774.14"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","756.14"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","783.27"
"Employment Indicators: Rural","Bulgaria","Employment by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","782.02"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","47.37"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","47.45"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","48.6"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","47.87"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","47.75"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","47.22"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","44.57"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","44.93"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","44.98"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","44.79"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","43.71"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","46.34"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","46.22"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","47.75"
"Employment Indicators: Rural","Bulgaria","Labour force participation rate by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","47.57"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2006","Value","Labour force survey","%","42.13"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2007","Value","Labour force survey","%","43.09"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2008","Value","Labour force survey","%","44.96"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2009","Value","Labour force survey","%","43.83"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2010","Value","Labour force survey","%","41.85"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2011","Value","Labour force survey","%","40.74"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2012","Value","Labour force survey","%","36.97"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2013","Value","Labour force survey","%","36.84"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2014","Value","Labour force survey","%","37.14"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2015","Value","Labour force survey","%","38.21"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2016","Value","Labour force survey","%","38.48"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2017","Value","Labour force survey","%","41.6"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2018","Value","Labour force survey","%","41.96"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2019","Value","Labour force survey","%","43.95"
"Employment Indicators: Rural","Bulgaria","Employment-to-population ratio by age, total (15+), rural areas","Total","2020","Value","Labour force survey","%","43.24"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2006","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2007","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2008","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2009","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2010","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2011","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2012","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2013","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2014","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2015","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2016","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2017","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2018","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2019","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Bulgaria","Share of employment by status of employment, total, rural areas","Total","2020","Value","Labour force survey","1000 No","100"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","6.01"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","8.26"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","4.59"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","3.09"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","4.11"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","2.81"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","648.04"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","615.39"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","613.22"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","593.27"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","559.97"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","570.48"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","568.63"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","607.35"
"Employment Indicators: Rural","Croatia","Employment by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","629.36"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","51.56"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","52.21"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","49.69"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","61.65"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","58.42"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","54.33"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","51.48"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","50.34"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","51.05"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","50.92"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","49.31"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","49.21"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","48.26"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","49"
"Employment Indicators: Rural","Croatia","Labour force participation rate by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","49.53"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2006","Value","Labour force survey","%","44.88"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2007","Value","Labour force survey","%","48.63"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2008","Value","Labour force survey","%","48.67"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2009","Value","Labour force survey","%","53.51"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2010","Value","Labour force survey","%","44.24"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2011","Value","Labour force survey","%","39.84"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2012","Value","Labour force survey","%","43.06"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2013","Value","Labour force survey","%","40.62"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2014","Value","Labour force survey","%","41.47"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2015","Value","Labour force survey","%","41.61"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2016","Value","Labour force survey","%","41.96"
"Employment Indicators: Rural","Croatia","Employment-to-population ratio by age, total (15+), rural areas","Total","2017","Value","Labour force survey","%","42.83"
