Domain,Area,Indicator,Sex,Year,Element,Source,Unit,Value
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","12.3"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","10.8"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","9.5"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","9.2"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","7.6"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","7"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","6.2"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","6.2"
"Employment Indicators: Agriculture","Croatia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","6.5"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","4.3"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","4.4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","4.2"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","3.9"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","3.8"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","3.8"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","3.1"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","4.4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","3.6"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","2.5"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","2.2"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","2.4"
"Employment Indicators: Agriculture","Cyprus","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","2.7"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","3.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","3.6"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","3.2"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","3.1"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","3.1"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","3.1"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","3"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","2.7"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","2.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","2.8"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","2.7"
"Employment Indicators: Agriculture","Czechia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","2.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","3.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","2.7"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","2.8"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","2.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","2.4"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","2.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","2.6"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","2.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","2.5"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","2.3"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","2.1"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","2.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","2.2"
"Employment Indicators: Agriculture","Denmark","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","2.1"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","5.1"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","4.8"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","3.9"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","4.1"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","4.2"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","4.4"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","4.5"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","4.3"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","3.9"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","3.9"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","3.9"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","3.5"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","3.3"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","3.2"
"Employment Indicators: Agriculture","Estonia","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","3"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","4.7"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","4.5"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","4.5"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","4.6"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","4.4"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","4.2"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","4.2"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","4.1"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","4.3"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","4.2"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","3.9"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","3.8"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","3.7"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","3.8"
"Employment Indicators: Agriculture","Finland","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","3.7"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","3.7"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","3.5"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","2.7"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","3.1"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","2.8"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","2.7"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2016","Value","ILO - ILO Modelled Estimates","%","2.9"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2017","Value","ILO - ILO Modelled Estimates","%","2.6"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2018","Value","ILO - ILO Modelled Estimates","%","2.5"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2019","Value","ILO - ILO Modelled Estimates","%","2.5"
"Employment Indicators: Agriculture","France","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2020","Value","ILO - ILO Modelled Estimates","%","2.4"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2006","Value","ILO - ILO Modelled Estimates","%","2.3"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2007","Value","ILO - ILO Modelled Estimates","%","2.3"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2008","Value","ILO - ILO Modelled Estimates","%","1.8"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2009","Value","ILO - ILO Modelled Estimates","%","1.7"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2010","Value","ILO - ILO Modelled Estimates","%","1.6"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2011","Value","ILO - ILO Modelled Estimates","%","1.6"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2012","Value","ILO - ILO Modelled Estimates","%","1.6"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2013","Value","ILO - ILO Modelled Estimates","%","1.4"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2014","Value","ILO - ILO Modelled Estimates","%","1.4"
"Employment Indicators: Agriculture","Germany","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","Total","2015","Value","ILO - ILO Modelled Estimates","%","1.4"
